"","rep","code","our_beta0","our_beta1","our_beta2","cc_beta0","cc_beta1","cc_beta2","naive_beta0","naive_beta1","naive_beta2","gs_beta0","gs_beta1","gs_beta2","eta0","eta1","eta2","n"
"4536",4536,0,1.99908520429878,3.00086802210803,4.00001134450175,1.99908500793484,3.0008678707609,4.00001019695809,4.42204960470501,0.409749038646078,4.03866968984456,1.99946301481294,3.00052948112031,4.00000082575304,-2.14801254120121,4.30418757818065,0.504747351077247,10000
"4537",4537,0,1.99956286800586,3.00029758590139,4.00003392526157,1.99952166568837,3.00032226617567,4.00005400381526,3.98835100113777,0.947594116528816,3.99838647354377,1.99964467827723,3.00025065821547,4.00002582312944,-2.23364202273988,4.46968630763052,0.504308431192685,10000
"4538",4538,0,2.00016173599207,2.99990611399847,3.99997647301755,2.00016254848529,2.999906691039,3.99997941765313,3.20675725168418,2.580689182566,3.6873240082706,2.00011902764217,2.99992603246527,3.99998516701114,-2.32931759610017,4.59871537394446,0.491863489130648,10000
"4539",4539,0,1.99925317512498,3.00071526215377,4.00000275973884,1.99925258129957,3.00071464861859,4.0000006470648,3.11694324718281,1.8132241596355,4.02007371396002,1.99888126738019,3.00110780345293,3.99999502542491,-2.25511730021022,4.4641533201734,0.458028909533352,10000
"4540",4540,0,2.00005637560781,2.9998923529129,4.00001717499591,2.00005637560781,2.9998923529129,4.00001717499591,2.85614927385643,2.0564645454321,4.02133747645681,2.00054974286449,2.99940346720369,4.00001574273702,-2.24300501185424,4.46917128735283,0.546755436387923,10000
"4541",4541,0,2.00140558072707,2.99859347033438,3.9999949033402,2.00140724453586,2.99859507982942,3.99999232356256,3.1296786724681,1.76808469027889,4.02924594155296,2.0009967801471,2.9989929116878,3.99999741606852,-2.21996312819981,4.38875826828883,0.535843702297076,10000
"4542",4542,0,1.9998690867049,3.00017506784855,3.99998954965153,1.99986664384153,3.00017263580808,3.99998575748069,3.3157375043304,1.80651513767756,3.93136744164399,1.9996761748333,3.00018595504021,4.00004928462903,-2.29481903589318,4.50288117570585,0.498797214787025,10000
"4543",4543,0,1.99917479386551,3.00063421801778,4.00005710048788,1.99917379547777,3.00063322453732,4.0000551388728,3.02725865219396,1.90513337298315,4.01991905774939,1.99925950691103,3.00060221946994,4.00003923787731,-2.19827083033388,4.49057077504735,0.513120971044659,10000
"4544",4544,0,2.00059314315587,2.99938239097945,4.000002887681,2.00059771130873,2.99938704840631,4.00000319697709,2.90746549795764,2.04122066727939,4.01221573679779,2.00061171728929,2.99931107051451,4.00001701664086,-2.15294123111098,4.37734672970365,0.404423031378325,10000
"4545",4545,0,1.99881109926001,3.00106965234759,4.00004056707547,1.99880894556973,3.00106751721551,4.00003568494781,4.73562661104084,0.112480170303806,4.04373799331185,1.998985156049,3.00101573467505,3.99999981388362,-2.13981055879804,4.29421819556986,0.590519226194908,10000
